UPC,Item
7795368547436,Poen Dropstar P Solución Oftálmica 10 ML Solución Gotero - Hialuronato de sodio 2 MG
7891010020927,K-Y Jelly Gel Lubricante Vaginal Seguro y Discreto - 50 G Jalea Tubo
7501050604178,Celestone 30 ML Solución Frasco Gotero - Betametasona 50 MG
7795368054514,Acrylarm Oftálmico 10 G Gel Tubo - Ácido poliacrílico 2 MG
7795368547177,Acutears 10 ML Solución Gotero - Carmelosa de sodio 5 MG
7795368054538,Augex Oftálmica 5 ML Solución Gotero - Tropicamida 5 MG Fenilefrina 50 MG
7501050608558,Elica 30 G Ungüento Tubo - Furoato de mometasona 100 MG
7501050610063,Garamicina GU hypak inyección 5 Piezas Ampolleta - Gentamicina 160 MG
7501050649834,Garamicina 1 Pieza Jeringa - Gentamicina 80 MG
7501050611053,Elomet 30 G Ungüento Tubo - Furoato de mometasona 100 MG
7502214982446,Prudence Terremoto Anillo Vibrador Pro - 1 Pieza Caja
7501050610629,Garamicina G.U Hypak Inyección 1 Pieza Jeringa - Gentamicina 160 MG
7501124723217,Dilarmine 100 ML Suspensión Frasco - Acetato de parametasona 20 MG Maleato clorfenamina 40 MG
7501326000086,Ezetrol 10 Comprimidos Caja - Ezetimiba 10 MG
7503014492173,Netira Oftálmica 5 ML Solución Gotero - Netilmicina 3 MG
7501050608718,Zient 28 Tableta Caja - Ezetimiba 10 MG
7503014492166,Etacortilen 20 Solución Sobres - Dexametasona 1.14 MG
7501124723170,Dilarmine 25 Tableta Caja - Acetato de parametasona 1 MG Maleato clorfenamina 2 MG
7501033957505,Creon 50 Cápsulas Caja - Pancreatina 150 MG
7503014492043,Netex Sifi Oftálmica 5 ML Solución Gotero - Netilmicina 3 MG Dexametasona 1 MG
7501070614454,Amoxibron Pediátrico 500 Mg/ 8 Mg 1 Suspensión Frasco dosificador - Amoxicilina trihidratada 7.5 G Bromhexina 0.12 G
7501033957581,Dicetel 42 Tabletas Caja - Bromuro de pinaverio 100 MG
7501050608688,Zient 14 Tabletas Caja - Ezetimiba 10 MG
7501033957567,Dicetel 14 Tabletas Caja - Bromuro de pinaverio 100 MG
